LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1129                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
989                             1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
995                             1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
996                             1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11676e+06         1.00703e+07         F 
1158                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11608e+06         1.00682e+07         F 
1637                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12237e+06         1.00661e+07         F 
1011                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.117e+06           1.00707e+07         F 
3146                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11807e+06         1.00715e+07         F 
1182                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11688e+06         1.00706e+07         F 
972                             1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11688e+06         1.00706e+07         F 
1063                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11652e+06         1.00702e+07         F 
1215                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11652e+06         1.00702e+07         F 
1210                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11632e+06         1.00698e+07         F 
1659                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11988e+06         1.00646e+07         F 
1008                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11643e+06         1.00701e+07         F 
1010                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11643e+06         1.00701e+07         F 
1207                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11643e+06         1.00701e+07         F 
1147                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11696e+06         1.00708e+07         F 
1655                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12296e+06         1.00669e+07         F 
1089                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11639e+06         1.00701e+07         F 
1202                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11684e+06         1.00708e+07         F 
3169                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11786e+06         1.00715e+07         F 
1003                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11618e+06         1.00698e+07         F 
1052                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11661e+06         1.00706e+07         F 
1143                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11661e+06         1.00706e+07         F 
997                             1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11661e+06         1.00706e+07         F 
1641                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12277e+06         1.00663e+07         F 
